accession_number	seq	description	document	type
0001722137-20-000002	1		primary_doc.xml	C/A
0001722137-20-000002	2	FORM C/A EXHIBITS A, B, E & F	formcaupshiftexhibitabf.pdf	EX-99
0001722137-20-000002	3	FORM C/A EXHIBIT D	formcaupshiftexhibitd.pdf	EX-99
0001722137-20-000002	4	FORM C/A EXHIBIT C	formcaupshiftexhibitc.pdf	EX-99
0001670254-20-000202	1		primary_doc.xml	C/A
0001670254-20-000202	2		document_1.jpg	GRAPHIC
0001670254-20-000202	3		document_2.jpg	GRAPHIC
0001670254-20-000202	4		document_3.pdf	EX-99
0001670254-20-000202	5		document_4.pdf	EX-99
0001670254-20-000202	6		document_5.pdf	EX-99
0001670254-20-000202	7		document_6.pdf	EX-99
0001670254-20-000202	8		document_7.pdf	EX-99
0001670254-20-000202	9		document_8.pdf	EX-99
0001670254-20-000202	10		document_9.pdf	EX-99
0001670254-20-000202	11		document_10.pdf	EX-99
0001670254-20-000202	12		document_11.pdf	EX-99
0001670254-20-000202	13		document_12.pdf	EX-99
0001670254-20-000202	14		document_13.pdf	EX-99
0001670254-20-000202	15		document_14.pdf	EX-99
0001670254-20-000202	16		document_15.pdf	EX-99
0001670254-20-000202	17		documents_list.htm	EX-99
0001778006-20-000001	1		primary_doc.xml	C/A
0001665160-20-000269	1		primary_doc.xml	C/A
0001665160-20-000269	2		offeringmemoformc.pdf	EX-99
0001788657-20-000002	1		primary_doc.xml	C/A
0001665160-20-000270	1		primary_doc.xml	C/A
0001719575-20-000001	1		primary_doc.xml	C-AR
0001719575-20-000001	2	FORM C-AR	formc-ar.pdf	EX-99
0001669191-20-000132	1		primary_doc.xml	C/A
0001669191-20-000132	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000132	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000132	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000132	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000132	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000132	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000132	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000132	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001746059-20-000089	1		primary_doc.xml	C-W
0001665160-20-000271	1		primary_doc.xml	C-TR
0001785236-20-000001	1		primary_doc.xml	C-U
0001666102-20-000008	1		primary_doc.xml	C/A
0001666102-20-000008	2	FORM C - OFFERING STATEMENT	FormC_20200319.pdf	EX-99
0001666102-20-000009	1		primary_doc.xml	C/A
0001666102-20-000009	2	FORM C - OFFERING STATEMENT	FormC_20200325a.pdf	EX-99
0001666102-20-000010	1		primary_doc.xml	C/A
0001666102-20-000010	2	FORM C - OFFERING STATEMENT	FormC_20200319.pdf	EX-99
0001669191-20-000138	1		primary_doc.xml	C
0001669191-20-000138	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000138	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000138	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000138	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000138	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000138	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000138	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000138	9	CERTIFICATE OF FORMATION	certificateofformation.pdf	EX-99
0001669191-20-000138	10	OPERATING AGREEMENT	operatingagreement.pdf	EX-99
0001669191-20-000138	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000138	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000138	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001730486-20-000003	1		primary_doc.xml	C-U
0001791223-20-000002	1		primary_doc.xml	C-U
0001213900-20-007323	1		primary_doc.xml	C/A
0001213900-20-007323	2	OFFERING STATEMENT	ea119966-ca1_workhardp.pdf	EX-99
0001213900-20-007323	3	BYLAWS	ea119966ex99-1_work.pdf	EX-99
0001213900-20-007323	4	CERTIFICATION OF INCORPORATION	ea119966ex99-2_work.pdf	EX-99
0001668287-20-000004	1		primary_doc.xml	C/A
0001668287-20-000005	1		primary_doc.xml	C/A
0001668287-20-000006	1		primary_doc.xml	C/A
0001668287-20-000007	1		primary_doc.xml	C/A
0001668287-20-000008	1		primary_doc.xml	C/A
0001668287-20-000009	1		primary_doc.xml	C/A
0001799600-20-000003	1		primary_doc.xml	C/A
0001799600-20-000003	2	FORM C/A	formc.pdf	EX-99
0001746059-20-000090	1		primary_doc.xml	C
0001746059-20-000090	2		alohatb_offmo.pdf	EX-99
0001746059-20-000090	3		alohatb_appxa.pdf	EX-99
0001746059-20-000090	4		alohatb_appxb.pdf	EX-99
0001746059-20-000090	5		alohatb_noteagmt.pdf	EX-99
0001746059-20-000090	6		alohatb_page.jpg	GRAPHIC
0001806281-20-000002	1		primary_doc.xml	C/A
0001746059-20-000092	1		primary_doc.xml	C
0001746059-20-000092	2		hoc2_offeringmem.pdf	EX-99
0001746059-20-000092	3		hoc2_appxa.pdf	EX-99
0001746059-20-000092	4		hoc2_appxb.pdf	EX-99
0001746059-20-000092	5		hoc2_noteagmt.pdf	EX-99
0001746059-20-000092	6		hoc2_page.jpg	GRAPHIC
0001779318-20-000003	1		primary_doc.xml	C/A
0001779318-20-000003	2	FLEETINGFORMCA	fleetingformca.pdf	EX-99
0001746059-20-000093	1		primary_doc.xml	C
0001746059-20-000093	2		smokeyvale_offmo.pdf	EX-99
0001746059-20-000093	3		smokeyvale_appxa.pdf	EX-99
0001746059-20-000093	4		smokeyvale_appxb.pdf	EX-99
0001746059-20-000093	5		smokeyvale_noteagmt.pdf	EX-99
0001746059-20-000093	6		smokeyvale_page.jpg	GRAPHIC
0001805103-20-000002	1		primary_doc.xml	C/A
0001805103-20-000002	2	OFFERING STATEMENT	formcamcandrews.pdf	EX-99
0001665160-20-000272	1		primary_doc.xml	C-U
0001665160-20-000273	1		primary_doc.xml	C-U
0001777274-20-000005	1		primary_doc.xml	C-U
0001317687-20-000002	1		primary_doc.xml	C-TR
0001784191-20-000001	1		primary_doc.xml	C/A
0001784191-20-000001	2	FORM C/A	avenifyformca.pdf	EX-99
0001725245-20-000001	1		primary_doc.xml	C-TR
0001670254-20-000209	1		primary_doc.xml	C/A
0001670254-20-000209	2		document_1.pdf	EX-99
0001670254-20-000209	3		document_2.pdf	EX-99
0001670254-20-000209	4		document_3.pdf	EX-99
0001670254-20-000209	5		document_4.pdf	EX-99
0001670254-20-000209	6		document_5.pdf	EX-99
0001670254-20-000209	7		document_6.pdf	EX-99
0001670254-20-000209	8		document_7.pdf	EX-99
0001670254-20-000209	9		document_8.pdf	EX-99
0001670254-20-000209	10		documents_list.htm	EX-99
0001708246-20-000004	1		primary_doc.xml	C/A
0001708246-20-000004	2	FORM C/A	formc.pdf	EX-99
0001670254-20-000205	1		primary_doc.xml	C/A
0001670254-20-000205	2		document_1.jpg	GRAPHIC
0001670254-20-000205	3		document_2.jpg	GRAPHIC
0001670254-20-000205	4		document_3.pdf	EX-99
0001670254-20-000205	5		document_4.pdf	EX-99
0001670254-20-000205	6		document_5.pdf	EX-99
0001670254-20-000205	7		document_6.pdf	EX-99
0001670254-20-000205	8		document_7.jpg	GRAPHIC
0001670254-20-000205	9		document_8.pdf	EX-99
0001670254-20-000205	10		document_9.pdf	EX-99
0001670254-20-000205	11		documents_list.htm	EX-99
0001670254-20-000213	1		primary_doc.xml	C/A
0001670254-20-000213	2		document_1.pdf	EX-99
0001670254-20-000213	3		document_2.pdf	EX-99
0001670254-20-000213	4		document_3.pdf	EX-99
0001670254-20-000213	5		document_4.pdf	EX-99
0001670254-20-000213	6		document_5.pdf	EX-99
0001670254-20-000213	7		document_6.pdf	EX-99
0001670254-20-000213	8		document_7.pdf	EX-99
0001670254-20-000213	9		document_8.pdf	EX-99
0001670254-20-000213	10		document_9.pdf	EX-99
0001670254-20-000213	11		document_10.pdf	EX-99
0001670254-20-000213	12		documents_list.htm	EX-99
0001670254-20-000208	1		primary_doc.xml	C/A
0001670254-20-000208	2		document_1.pdf	EX-99
0001670254-20-000208	3		document_2.pdf	EX-99
0001670254-20-000208	4		document_3.pdf	EX-99
0001670254-20-000208	5		document_4.pdf	EX-99
0001670254-20-000208	6		document_5.pdf	EX-99
0001670254-20-000208	7		document_6.pdf	EX-99
0001670254-20-000208	8		document_7.pdf	EX-99
0001670254-20-000208	9		document_8.pdf	EX-99
0001670254-20-000208	10		documents_list.htm	EX-99
0001772684-20-000001	1		primary_doc.xml	C-W
0001803581-20-000002	1		primary_doc.xml	C/A
0001803581-20-000002	2	FORM C/A WITH EXHIBITS	formcafluux.pdf	EX-99
0001666102-20-000011	1		primary_doc.xml	C/A
0001666102-20-000011	2	FORM C - OFFERING STATEMENT	FormC_20200327.pdf	EX-99
0001669191-20-000141	1		primary_doc.xml	C/A
0001669191-20-000141	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000141	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000141	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000141	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000141	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000141	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000141	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000141	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000141	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000141	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000141	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000141	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000142	1		primary_doc.xml	C/A
0001669191-20-000142	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000142	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000142	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000142	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000142	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000142	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000142	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000142	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000274	1		primary_doc.xml	C/A
0001803497-20-000002	1		primary_doc.xml	C/A
0001803497-20-000002	2	OFFERING STATEMENT	formcapb.pdf	EX-99
0001803497-20-000003	1		primary_doc.xml	C/A
0001803497-20-000003	2	OFFERING STATEMENT	formcawc.pdf	EX-99
0001806520-20-000001	1		primary_doc.xml	C
0001806520-20-000001	2	OFFERING STATEMENT	formc_co.pdf	EX-99
0001669191-20-000144	1		primary_doc.xml	C
0001669191-20-000144	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000144	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000144	4	INCOME STATEMENT	income.pdf	EX-99
0001669191-20-000144	5	BALANCE SHEET	balancesheet.pdf	EX-99
0001669191-20-000144	6	CASH FLOW STATEMENT	cashflow.pdf	EX-99
0001669191-20-000144	7	CHANGE IN EQUITY STATEMENT	changeinequity.pdf	EX-99
0001669191-20-000144	8	PRINCIPAL EXECUTIVE CERTIFICATION	executivecertification.pdf	EX-99
0001669191-20-000144	9	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000144	10	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000144	11	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000144	12	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000144	13	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001669191-20-000146	1		primary_doc.xml	C/A
0001669191-20-000146	2	OFFERING STATEMENT PDF	offeringstatement.pdf	EX-99
0001669191-20-000146	3	OFFERING PAGE JPG	offeringpage.jpg	GRAPHIC
0001669191-20-000146	4	CPA REVIEW REPORT	reviewletter.pdf	EX-99
0001669191-20-000146	5	CERTIFICATE OF INCORPORATION	certificateofincorporation.pdf	EX-99
0001669191-20-000146	6	CORPORATE BYLAWS	corporatebylaws.pdf	EX-99
0001669191-20-000146	7	PITCH DECK	pitchdeck.pdf	EX-99
0001669191-20-000146	8	ADDITIONAL INFORMATION	otherfinancial.pdf	EX-99
0001669191-20-000146	9	IMAGE ATTACHMENTS HTML	imageattachments.htm	EX-99
0001665160-20-000276	1		primary_doc.xml	C
0001665160-20-000276	2		offeringmemoformc.pdf	EX-99
0001746059-20-000095	1		primary_doc.xml	C
0001746059-20-000095	2		gms_offmo.pdf	EX-99
0001746059-20-000095	3		gms_appa.pdf	EX-99
0001746059-20-000095	4		gms_appb.pdf	EX-99
0001746059-20-000095	5		gms_noteagmt.pdf	EX-99
0001746059-20-000095	6		gms_page.jpg	GRAPHIC
0001746059-20-000096	1		primary_doc.xml	C-U
0001772684-20-000004	1		primary_doc.xml	C
0001772684-20-000004	2	FORM C	all_ebtformc3.27.20clean.pdf	EX-99
0001807742-20-000003	1		primary_doc.xml	C-W
0001807742-20-000002	1		primary_doc.xml	C
0001807742-20-000002	2	OFFERING PAGE	offeringpage.pdf	EX-99
0001807742-20-000002	3	FORM C	submitFormCForm.pdf	EX-99
0001670254-20-000215	1		primary_doc.xml	C
0001670254-20-000215	2		document_1.pdf	EX-99
0001670254-20-000215	3		document_2.pdf	EX-99
0001670254-20-000215	4		document_3.pdf	EX-99
0001670254-20-000215	5		document_4.pdf	EX-99
0001670254-20-000215	6		document_5.pdf	EX-99
0001670254-20-000215	7		document_6.pdf	EX-99
0001670254-20-000215	8		document_7.pdf	EX-99
0001670254-20-000215	9		document_8.pdf	EX-99
0001670254-20-000215	10		document_9.pdf	EX-99
0001670254-20-000215	11		document_10.pdf	EX-99
0001670254-20-000215	12		documents_list.htm	EX-99
0001807742-20-000001	1		primary_doc.xml	C
0001807742-20-000001	2	CRICCLUBSFORMC	cricclubsformc2.pdf	EX-99
0001213900-20-007809	1		primary_doc.xml	C/A
0001213900-20-007809	2	FORM C/A	ea120152-ca2_workhard1.pdf	EX-99
0001213900-20-007809	3	BYLAWS	ea120152ex99-1_work.pdf	EX-99
0001213900-20-007809	4	CERTIFICATION OF INCORPORATION	ea120152ex99-2_work.pdf	EX-99
0001807984-20-000003	1		primary_doc.xml	C
0001807984-20-000003	2	FORM C	all_ebtformc3.30.20.pdf	EX-99
0001807984-20-000004	1		primary_doc.xml	C-W
0001807941-20-000001	1		primary_doc.xml	C
0001807941-20-000001	2	OFFERING DOCUMENT	formcglobalwordsmiths.pdf	EX-99
0001665160-20-000278	1		primary_doc.xml	C/A
0001665160-20-000280	1		primary_doc.xml	C-AR
0001665160-20-000280	2		form_car.pdf	EX-99
0001778787-20-000001	1		primary_doc.xml	C-AR
0001778787-20-000001	2	FORM C-AR	formc-ar.pdf	EX-99
0001665160-20-000282	1		primary_doc.xml	C/A
0001665160-20-000282	2		offeringmemoformc.pdf	EX-99
0001745548-20-000001	1		primary_doc.xml	C-AR
0001745548-20-000001	2	KPOP FOODS 2019 C-AR	2019_C_AR_FILING_03272020.pdf	EX-99
0001769091-20-000001	1		primary_doc.xml	C-U
0001807812-20-000001	1		primary_doc.xml	C
0001807812-20-000001	2	FORM C	FormC.pdf	EX-99
0001807812-20-000001	3	BOND PROSPECTUS - LIVIE AND LUCA SERIES A 05-2025 BONDS	BondProspectus.pdf	EX-99
0001807812-20-000001	4	BALANCE SHEET 2016 TO 2019	BalanceSheet2016to2019.pdf	EX-99
0001807812-20-000001	5	PROFIT AND LOSS 2016 TO 2019	ProfitandLoss2016to2019.pdf	EX-99
0001807812-20-000001	6	OFFERING SUMMARY	OfferingSummary.pdf	EX-99
0001807812-20-000001	7	LINKEDIN PROFILE 1	AmieGarciaLinkedIn.jpg	GRAPHIC
0001807812-20-000001	8	LINKEDIN PROFILE 2	MitziRivasLinkedIn.jpg	GRAPHIC
0001769091-20-000002	1		primary_doc.xml	C-U
0001670254-20-000218	1		primary_doc.xml	C
0001670254-20-000218	2		document_1.pdf	EX-99
0001670254-20-000218	3		document_2.pdf	EX-99
0001670254-20-000218	4		document_3.pdf	EX-99
0001670254-20-000218	5		document_4.pdf	EX-99
0001670254-20-000218	6		document_5.pdf	EX-99
0001670254-20-000218	7		document_6.pdf	EX-99
0001670254-20-000218	8		document_7.pdf	EX-99
0001670254-20-000218	9		document_8.pdf	EX-99
0001670254-20-000218	10		document_9.pdf	EX-99
0001670254-20-000218	11		documents_list.htm	EX-99
0001746059-20-000097	1		primary_doc.xml	C
0001746059-20-000097	2		wanderlinger_offmo.pdf	EX-99
0001746059-20-000097	3		wanderlinger_appxa.pdf	EX-99
0001746059-20-000097	4		wanderlinger_appxb.pdf	EX-99
0001746059-20-000097	5		wanderlinger_noteagmt.pdf	EX-99
0001746059-20-000097	6		wanderlinger_page.jpg	GRAPHIC
0001783580-20-000005	1		primary_doc.xml	C-U
0001665160-20-000283	1		primary_doc.xml	C/A
0001665160-20-000285	1		primary_doc.xml	C
0001665160-20-000285	2		offeringmemoformc.pdf	EX-99
0001807883-20-000001	1		primary_doc.xml	C
0001807883-20-000001	2	FORM C	FormCbhb.pdf	EX-99
0001807883-20-000001	3	BOND PROSPECTUS - BLACK HAMMER BREWING SERIES A 05-2025 BONDS	BondProspectusbhb.pdf	EX-99
0001807883-20-000001	4	BLACK HAMMER BREWING BALANCE SHEET 2018	BlackHammerBrewingBS2018.pdf	EX-99
0001807883-20-000001	5	BLACK HAMMER BREWING BALANCE SHEET 2019	BlackHammerBrewingBS2019.pdf	EX-99
0001807883-20-000001	6	WILLKOMMEN BALANCE SHEET 2019	WillkommenBS2019.pdf	EX-99
0001807883-20-000001	7	BLACK HAMMER BREWING PROFIT AND LOSS 2018	BlackHammerBrewingPL2018.pdf	EX-99
0001807883-20-000001	8	BLACK HAMMER BREWING PROFIT AND LOSS 2019	BlackHammerBrewingPL2019.pdf	EX-99
0001807883-20-000001	9	WILLKOMMEN PROFIT AND LOSS 2019	WillkommenPL2019.pdf	EX-99
0001807883-20-000001	10	OFFERING SUMMARY	OfferingSummary.pdf	EX-99
0001807883-20-000001	11	LINKEDIN PROFILE 1	KevinJackeyLinkedIn.jpg	GRAPHIC
0001807883-20-000001	12	LINKEDIN PROFILE 2	JamesFurmanLinkedIn.jpg	GRAPHIC
0001796828-20-000003	1		primary_doc.xml	C/A
0001796828-20-000003	2		offerlyons.pdf	EX-99
0001665160-20-000288	1		primary_doc.xml	C
0001665160-20-000288	2		offeringmemoformc.pdf	EX-99
0001746059-20-000099	1		primary_doc.xml	C
0001746059-20-000099	2		avseals_offmo.pdf	EX-99
0001746059-20-000099	3		avseals_appxa.pdf	EX-99
0001746059-20-000099	4		avseals_appxb.pdf	EX-99
0001746059-20-000099	5		avseals_noteagmt.pdf	EX-99
